Well,"Depth, ft","Depth, m","CKHA, Md","CPOR, %",Formation
w1,1126,343,56,19,fm10
w1,1128,344,20,22.6,fm10
w1,1129,344,7.9,13.6,fm10
w1,1481,451,18.5,13.7,fm7
w1,1484,452,71.5,19.7,fm7
w1,1487,453,40,16.8,fm7
w1,1490,454,11.1,9.8,fm7
w1,1616,493,50,20.3,fm6
w1,1618,493,19.5,17.6,fm6
w1,1620,494,31,17.6,fm6
w1,1622,494,8.2,14.3,fm6
w1,1624,495,12.3,17.6,fm6
w1,1627,496,3.1,17.4,fm6
w1,2100,640,48.3,31.8,fm2
w1,2100,640,0.9,23.2,fm2
w1,2101,640,39.1,30.8,fm2
w1,2103,641,1.7,20.5,fm2
w1,2102,641,1.2,21.6,fm2
w1,2104,641,51,29.2,fm2
w1,2107,642,1.7,19.9,fm2
w1,2109,643,2.2,18.3,fm2
w1,2110,643,1.9,17.5,fm2
w3,2210,674,0.8,26,fm2
w3,2211,674,7.9,26.7,fm2
w3,2212,674,2.4,26.4,fm2
w3,2212,674,2.5,27.6,fm2
w3,2212,674,4.8,27,fm2
w3,2214,675,6.3,28.8,fm2
w3,2215,675,2.8,26.3,fm2
w3,2216,676,8.8,26.6,fm2
w3,2217,676,1.4,25.6,fm2
w3,2220,677,3.3,25.6,fm2
w3,2221,677,1.3,25.3,fm2
w3,2222,677,8.2,27.6,fm2
w3,2226,678,2.3,28.4,fm2
w3,2228,679,0.5,21.7,fm2
w3,2232,680,0.5,13.5,fm2
w3,2236,681,7.6,26.4,fm2
w3,2237,682,7.4,28,fm2
w3,2237,682,0.5,19.8,fm2
w3,2241,683,0.6,11.2,fm2
w3,2243,684,0.6,14.6,fm2
w4,1158,353,108,23.9,fm10
w4,1641,500,47.6,22.6,fm6
w4,1649,502,25.5,24.4,fm6
w4,1649,503,9.6,19.8,fm6
w4,1652,504,39.9,23.5,fm6
w4,1654,504,19.1,23,fm6
w4,1656,505,16.9,21.1,fm6
w4,1657,505,21.4,22.2,fm6
w4,2095,639,38.5,30.9,fm2
w4,2096,639,41.7,31,fm2
w4,2099,640,2.6,19.1,fm2
w4,2101,640,0.4,16.8,fm2
w4,2102,641,169.7,32.1,fm2
w4,2104,641,7.3,16.8,fm2
w4,2108,643,21.8,27.8,fm2
w4,2110,643,4.6,28.4,fm2
w4,2111,643,37.7,28.4,fm2
w4,2111,643,4.2,27.2,fm2
w4,2112,644,6.9,24.1,fm2
w4,2117,645,3.4,28.7,fm2
w4,2117,645,11.3,26.9,fm2
w4,2118,646,6.6,24.9,fm2
w4,2119,646,3.9,25.1,fm2
w4,2122,647,16.7,25,fm2
w5,1174,358,92.5,22.1,fm10
w5,1180,360,86.6,20.9,fm10
w5,1182,360,59.8,20,fm10
w5,1183,361,39.5,21.2,fm10
w5,1184,361,45.8,18.4,fm10
w5,1186,361,23.4,20.3,fm10
w5,1190,363,6.8,19.3,fm10
w5,1193,364,0.8,19.5,fm10
w5,1266,386,196.6,25.7,fm9
w5,1267,386,90.9,23.1,fm9
w5,1268,386,117.1,23.7,fm9
w5,1272,388,10.2,17.6,fm9
w5,1273,388,19.9,22.1,fm9
w5,1277,389,105.1,23.9,fm9
w5,1278,390,119.7,21.6,fm9
w5,1280,390,105,23.9,fm9
w5,1282,391,56.1,24.9,fm9
w5,1383,422,77.8,24.3,fm9
w5,1284,391,58.8,25.7,fm9
w5,1285,392,44.3,24.4,fm9
w5,1286,392,92.5,25.1,fm9
w5,1288,393,31.1,21.5,fm9
w5,1290,393,30.8,21.8,fm9
w5,1547,472,140,18.9,fm7
w5,1671,509,38.8,21.7,fm6
w5,1672,510,40.1,21.7,fm6
w5,1674,510,32.5,21.5,fm6
w5,1675,510,5.1,20.1,fm6
w5,1675,511,34.4,22.1,fm6
w5,1676,511,23.7,22.3,fm6
w5,1676,511,10.3,20.9,fm6
w5,1677,511,13.6,21,fm6
w5,1677,511,22.5,22.1,fm6
w5,1678,511,3,22.5,fm6
w5,1680,512,15.6,20.6,fm6
w5,1681,512,17.7,20.7,fm6
w5,1682,513,9.5,22,fm6
w5,1684,513,9.2,19.9,fm6
w5,1686,514,4.8,20.9,fm6
w5,1689,515,0.3,22.4,fm6
w5,2106,642,3.3,20.3,fm2
w5,2108,643,99.9,30.9,fm2
w5,2109,643,126.3,29.8,fm2
w5,2110,643,55.9,31.9,fm2
w5,2111,643,17.2,28.6,fm2
w5,2111,643,12.1,27.8,fm2
w5,2112,644,11.1,26.9,fm2
w5,2112,644,16.9,30.1,fm2
w5,2113,644,20.4,30.9,fm2
w5,2115,645,0.6,26.6,fm2
w5,2116,645,17.1,31.3,fm2
w5,2119,646,1.7,29.3,fm2
w5,2120,646,1,29.2,fm2
w5,2121,646,1,25.4,fm2
w5,2122,647,1.9,27,fm2
w5,2123,647,1.1,25.8,fm2
w5,2123,647,0.7,26.4,fm2
w5,2124,647,1.4,25.9,fm2
w5,2125,648,1.6,26.1,fm2
w5,2126,648,0.7,24.4,fm2
w5,2126,648,2.4,27.1,fm2
w5,2127,648,2.3,26.8,fm2
w5,2128,649,3.2,27.7,fm2
w5,2129,649,2.4,26.3,fm2
w5,2134,650,1.7,25.4,fm2
w5,2137,651,15.8,27.4,fm2
w5,2137,651,10.6,25.5,fm2
w5,2138,652,0.5,23.1,fm2
w5,2139,652,0.4,17,fm2
w6,1131,345,51.8,23.4,fm10
w6,1132,345,13.7,19.3,fm10
w6,1134,346,72.2,20.5,fm10
w6,1139,347,67.9,21.8,fm10
w6,1142,348,10.1,20.9,fm10
w6,1498,457,0.6,11.9,fm7
w6,1502,458,4.9,15.1,fm7
w6,1504,458,34.5,12.1,fm7
w6,1505,459,74.3,14,fm7
w6,1506,459,8.2,15.7,fm7
w6,1508,460,4.3,9.4,fm7
w6,1509,460,9.3,15.9,fm7
w6,1510,460,7.8,11.7,fm7
w6,1514,461,0.9,9.8,fm7
w6,2086,636,22.9,21.6,fm2
w6,2086,636,23.3,23.8,fm2
w6,2087,636,33.6,22.1,fm2
w6,2088,636,13.5,22.2,fm2
w6,2088,636,20.2,21.4,fm2
w6,2089,637,0.8,19.9,fm2
w6,2090,637,14.2,20,fm2
w6,2090,637,24.7,22.7,fm2
w6,2091,637,9.8,22.7,fm2
w6,2092,638,13.1,21.3,fm2
w6,2092,638,9.5,21.7,fm2
w6,2093,638,9.6,21.4,fm2
w6,2094,638,8.4,23.9,fm2
w6,2094,638,4.4,19.2,fm2
w6,2095,639,1.5,17.7,fm2
w6,2096,639,0.5,15.4,fm2
w6,2097,639,7.6,26,fm2
w6,2098,639,22.9,29,fm2
w6,2099,640,2.3,14.4,fm2
w6,2100,640,1,18.6,fm2
w6,2101,640,0.4,12.5,fm2
w6,2102,641,1,19.2,fm2
w6,2102,641,0.9,18.5,fm2
w6,2103,641,5.9,19,fm2
w6,2104,641,0.7,17.3,fm2
w6,2109,643,0.6,12.9,fm2
w6,2109,643,0.4,13.6,fm2
w6,2110,643,0.5,15.3,fm2
w6,2111,643,0.3,12.3,fm2
w7,1209,368,1.9,17.8,fm9
w7,1222,372,40.2,22.8,fm9
w7,1236,377,29.4,21.2,fm9
w7,1252,382,33,23.4,fm9
w7,1258,383,3.4,16.2,fm9
w7,1259,384,22.6,17.2,fm9
w7,1259,384,54.8,22.1,fm9
w7,1276,389,18.7,22.8,fm9
w7,1505,459,28.8,18.5,fm7
w7,1507,459,24.2,16.6,fm7
w7,1509,460,54.5,18.6,fm7
w7,1510,460,74,21.9,fm7
w7,1514,462,8,17.6,fm7
w7,1727,526,4.2,17,fm5
w8,2833,863,4.9,27.1,fm2
w8,2835,864,2.1,26.9,fm2
w8,2837,865,2.2,26.8,fm2
w8,2837,865,1.4,26.3,fm2
w8,2840,866,2.1,27.4,fm2
w8,2841,866,2.7,27.7,fm2
w8,2842,866,1.7,25.7,fm2
w8,2843,867,2.2,24.4,fm2
w8,2845,867,25.2,27.7,fm2
